# Retail render-call counts at house-walk-tables cap_05 (frame 14892)
# Captured 2026-06-02. The full set of functions retail calls to draw
# this HOUSE free-roam frame. Use to port the missing HUD + NPC.
# (port vs retail va-sets are NOT comparable — different binaries.)

 384x  FUN_0051250d
 311x  FUN_0051258c
 277x  __ftol
 188x  __fload_withFB
 140x  FUN_0050a3d4
 109x  FUN_004f8730
  90x  ___add_12
  70x  FUN_005031e4
  70x  FUN_005031ed
  59x  FUN_00503a44
  59x  FUN_00503a4d
  59x  FUN_00503994
  59x  FUN_0050399d
  54x  FUN_00454fe4
  30x  FUN_0050a43a
  23x  _strlen
  21x  __aullrem
  21x  __aulldiv
  20x  FUN_00433674
  19x  FUN_0043647f
  17x  FUN_005038d0
  16x  FUN_005038ff
  16x  FUN_00509c93
  16x  FUN_0050f520
  16x  FUN_00404efc
  15x  FUN_0050a409
  14x  FUN_004a3ee8
  12x  FUN_00451874
  12x  FUN_00454f03
  10x  __fload
   9x  FUN_0050649b
   9x  FUN_00454f7c
   9x  FUN_00414ee2
   8x  FUN_0050a472
   8x  FUN_00482a71
   8x  FUN_005125ba
   8x  FUN_0045a56f
   7x  FUN_005041f6
   7x  FUN_00506287
   7x  FUN_0050f3fa
   7x  FUN_0050f45e
   7x  FUN_005126ae
   7x  FUN_0050f383
   7x  FUN_0040d11b
   7x  FUN_00405354
   6x  FUN_00482a51
   6x  FUN_00471089
   5x  FUN_00432e50
   5x  FUN_0049065b
   5x  FUN_00490795
   5x  FUN_00512fb5
   5x  FUN_00512d95
   5x  FUN_00503dd0
   5x  __trandisp2
   5x  FUN_0050656e
   5x  FUN_00506575
   4x  FUN_00457714
   4x  FUN_00459847
   3x  FUN_004a3b52
   2x  FUN_0040cea6
   2x  FUN_00482ae7
   2x  FUN_004856d7
   2x  FUN_00415e90
   2x  FUN_0049b425
   2x  FUN_00406a60
   1x  FUN_0047be92
   1x  FUN_0047be2f
   1x  FUN_0047b73c
   1x  FUN_004536cb
   1x  FUN_0047c29d
   1x  FUN_00405552
   1x  FUN_004693e3
   1x  FUN_00442cef
   1x  FUN_0044bb1a
   1x  FUN_0048670f
   1x  FUN_00434d6a
   1x  FUN_0046f621
   1x  FUN_0046f2a3
   1x  FUN_0048b850
   1x  FUN_0048b6ad
   1x  FUN_004897c6
   1x  FUN_004855e2
   1x  FUN_0048cdcc
   1x  FUN_00489e66
   1x  FUN_00489db8
   1x  FUN_0048cbf6
   1x  FUN_00483170
   1x  FUN_004830f1
   1x  FUN_0048a833
   1x  FUN_0048a4d1
   1x  FUN_00447f4f
   1x  FUN_00483e7b
   1x  FUN_00486435
   1x  FUN_00485861
   1x  FUN_00441aab
   1x  FUN_00430c6d
   1x  FUN_0042df55
   1x  FUN_0043ae20
   1x  FUN_0042ea35
   1x  FUN_0043a5d9
   1x  FUN_0044284b
   1x  FUN_004427f1
   1x  FUN_00482059
   1x  FUN_00482033
   1x  FUN_0040fb3a
   1x  FUN_00414929
   1x  FUN_004426a7
   1x  FUN_00406584
   1x  FUN_004356cd
   1x  FUN_004526ab
   1x  FUN_0049966a
   1x  FUN_004547ab
   1x  FUN_004532df
   1x  FUN_0045bbf9
   1x  FUN_00441c3e
   1x  FUN_0040120c
   1x  FUN_004424e7
   1x  FUN_00459dfd
   1x  FUN_00455191
   1x  FUN_00405d70
   1x  FUN_00458f67
   1x  FUN_004597ad
   1x  FUN_0045aa36
   1x  FUN_00470385
   1x  FUN_0046f648
   1x  FUN_004552d0
   1x  FUN_004705a3
   1x  FUN_0046f737
   1x  FUN_00470d44
   1x  FUN_004161c7
   1x  FUN_00485f8c
   1x  FUN_004597dd
   1x  FUN_0045672a
   1x  FUN_0045526a
   1x  FUN_00458bdf
   1x  FUN_00456f56
   1x  FUN_0047047b
   1x  FUN_004176ff
   1x  FUN_0040f892
   1x  FUN_00405b1a
   1x  FUN_0040a765
   1x  FUN_0040c4eb
   1x  FUN_00409925
   1x  FUN_0046602e
   1x  FUN_00481ec3
   1x  FUN_00407ab4
   1x  FUN_00406d50
   1x  FUN_00406241
   1x  FUN_0046b00a
   1x  FUN_00466b7b
   1x  FUN_0043537e
   1x  FUN_00435747
   1x  FUN_00435117
   1x  FUN_0040c962
   1x  FUN_00417504
   1x  FUN_00452f58
   1x  FUN_0050a90c
   1x  FUN_0045404b
   1x  FUN_00454191
   1x  FUN_00453d9c
   1x  FUN_0048fe43
   1x  FUN_00453e8f
   1x  FUN_00453147
   1x  FUN_004523e6
